Month,Day,Hour,VMT (Veh-Miles),VHT (Veh-Hours),# Lane Points,% Observed,Last
1,1,1,5778.2,98.6,444,59.5,6545
1,1,2,4307.7,87.1,444,59.5,5778.2
1,1,3,3318.6,65,444,54.1,4307.7
1,1,4,3040.1,50.1,444,51.4,3318.6
1,1,5,4141.1,45.9,444,51.4,3040.1
1,1,6,6244.1,62.5,444,51.4,4141.1
1,1,7,7485,93.8,444,73.9,6244.1
1,1,8,9640.9,111.7,444,81.1,7485
1,1,9,12477.5,143.5,444,81.1,9640.9
1,1,10,15481.3,185.8,444,81.1,12477.5
1,1,11,17961.2,231,444,81.1,15481.3
1,1,12,20708.9,270,444,81.1,17961.2
1,1,13,20867.6,310.5,444,81.1,20708.9
1,1,14,22643.2,312.4,444,81.1,20867.6
1,1,15,22157.8,340.2,444,81.1,22643.2
1,1,16,21571.8,332.9,444,81.1,22157.8
1,1,17,21565.9,322.6,444,81.1,21571.8
1,1,18,17407.1,323.5,444,81.1,21565.9
1,1,19,13875.2,258.6,444,81.1,17407.1
1,1,20,11133,207,444,81.1,13875.2
1,1,21,9817,164.9,444,81.1,11133
1,1,22,7838.9,145.8,444,81.1,9817
1,1,23,5670.2,116.7,444,75.7,7838.9
1,2,0,3905.8,84.8,444,75.7,5670.2
1,2,1,3009.7,58.6,444,75.7,3905.8
1,2,2,2557.8,45.3,444,75.7,3009.7
1,2,3,2357.4,38.5,444,75.7,2557.8
1,2,4,2564.8,35.7,444,75.7,2357.4
1,2,5,3838.9,38.7,444,75.7,2564.8
1,2,6,5906,57.6,444,71.6,3838.9
1,2,7,8170.8,88.9,444,81.1,5906
1,2,8,11439.9,121.8,444,81.1,8170.8
1,2,9,15062,170.6,444,81.1,11439.9
1,2,10,18684.7,225.6,444,81.1,15062
1,2,11,21829.4,281,444,81.1,18684.7
1,2,12,23511.7,330.7,444,81.1,21829.4
1,2,13,24690.5,356,444,81.1,23511.7
1,2,14,24758.4,371.2,444,81.1,24690.5
1,2,15,23914.6,373.1,444,81.1,24758.4
1,2,16,23678.5,361.7,444,81.1,23914.6
1,2,17,23599.2,360.5,444,81.1,23678.5
1,2,18,18351.7,357.5,444,81.1,23599.2
1,2,19,15057,278.7,444,81.1,18351.7
1,2,20,12042.5,226.2,444,81.1,15057
1,2,21,9564.1,179.1,444,78.8,12042.5
1,2,22,7396.8,142.1,444,75.7,9564.1
1,2,23,4873.2,110.5,444,75.7,7396.8
1,3,0,3364.3,73,444,75.7,4873.2
1,3,1,2672.6,50.6,444,75.7,3364.3
1,3,2,2381.6,40.2,444,75.7,2672.6
1,3,3,2764.8,35.9,444,75.7,2381.6
1,3,4,6121.6,41.7,444,68.2,2764.8
1,3,5,13791.8,92.7,444,67.6,6121.6
1,3,6,21172.5,207.8,444,71.4,13791.8
1,3,7,27845.9,332.1,444,81.1,21172.5
1,3,8,27548.1,428.8,444,81.1,27845.9
1,3,9,25276.1,422.8,444,81.1,27548.1
1,3,10,27037.6,389.7,444,0,25276.1
1,3,11,28553.9,417.6,444,0,27037.6
1,3,12,30410.6,439,444,0,28553.9
1,3,13,33618.1,466.5,444,0,30410.6
1,3,14,39831.3,517.9,444,47.3,33618.1
1,3,15,41117,622.2,444,81.1,39831.3
1,3,16,37439.8,645.9,444,81.1,41117
1,3,17,34616.9,581.1,444,81.1,37439.8
